daily_test,daily_case,daily_death,daily_recover,total_test,total_case,total_death,total_recover,bed_occupancy_rate
54234.0,988.0,21.0,926.0,2209583.0,167410,4630.0,131778.0,
52305.0,867.0,24.0,931.0,2155349.0,166422,4609.0,130852.0,
32325.0,786.0,22.0,974.0,2103044.0,165555,4585.0,129921.0,
31525.0,827.0,23.0,974.0,2070719.0,164769,4563.0,128947.0,
35600.0,839.0,25.0,989.0,2039194.0,163942,4540.0,127973.0,
39230.0,983.0,26.0,1021.0,2003594.0,163103,4515.0,126984.0,
36155.0,1141.0,28.0,1594.0,1964364.0,162120,4489.0,125963.0,
33559.0,1182.0,30.0,1576.0,1928209.0,160979,4461.0,124369.0,
21043.0,1035.0,34.0,1286.0,1894650.0,159797,4431.0,122793.0,
19853.0,948.0,28.0,1492.0,1873607.0,158762,4397.0,121507.0,
21492.0,987.0,29.0,1321.0,1853754.0,157814,4369.0,120015.0,
24589.0,1141.0,32.0,1092.0,1832262.0,156827,4340.0,118694.0,
40178.0,1186.0,32.0,1491.0,1807673.0,155686,4308.0,117602.0,
37507.0,952.0,27.0,1121.0,1767495.0,154500,4276.0,116111.0,
33633.0,961.0,27.0,1003.0,1729988.0,153548,4249.0,114990.0,
20838.0,972.0,23.0,1092.0,1696355.0,152587,4222.0,113987.0,
25382.0,1022.0,28.0,1318.0,1675517.0,151615,4199.0,112895.0,
25141.0,1158.0,31.0,1615.0,1650135.0,150593,4171.0,111577.0,
35369.0,1368.0,44.0,1825.0,1624994.0,149435,4140.0,109962.0,
42236.0,1610.0,41.0,2004.0,1589625.0,148067,4096.0,108137.0,
38565.0,1708.0,48.0,2103.0,1547389.0,146457,4055.0,106133.0,
34821.0,1635.0,55.0,2315.0,1508824.0,144749,4007.0,104030.0,
33332.0,1639.0,58.0,2826.0,1474003.0,143114,3952.0,101715.0,
37351.0,1704.0,53.0,3109.0,1440671.0,141475,3894.0,98889.0,
32722.0,1114.0,55.0,3089.0,1403320.0,139771,3841.0,95780.0,
36187.0,1542.0,47.0,3211.0,1370598.0,138657,3786.0,92691.0,
35605.0,1546.0,50.0,3084.0,1334411.0,137115,3739.0,89480.0,
33687.0,1848.0,48.0,3412.0,1298806.0,135569,3689.0,86396.0,
30395.0,1977.0,57.0,4782.0,1265119.0,133721,3641.0,82984.0,
30303.0,2253.0,64.0,4917.0,1234724.0,131744,3584.0,78202.0,
33283.0,1832.0,59.0,5119.0,1204421.0,129491,3520.0,73285.0,
35771.0,1614.0,64.0,5015.0,1171138.0,127659,3461.0,68166.0,
24001.0,1670.0,61.0,4892.0,1135367.0,126045,3397.0,63151.0,
36318.0,1983.0,78.0,4451.0,1111366.0,124375,3336.0,58259.0,
41431.0,2188.0,84.0,4922.0,1075048.0,122392,3258.0,53808.0,
42004.0,2615.0,93.0,4846.0,1033617.0,120204,3174.0,48886.0,
43498.0,2936.0,89.0,5231.0,991613.0,117589,3081.0,44040.0,
29230.0,2392.0,92.0,5018.0,948115.0,114653,2992.0,38809.0,
20143.0,2131.0,95.0,4651.0,918885.0,112261,2900.0,33791.0,
30177.0,2357.0,99.0,3558.0,898742.0,110130,2805.0,29140.0,
38308.0,2861.0,106.0,3845.0,868565.0,107773,2706.0,25582.0,
38351.0,3122.0,109.0,3246.0,830257.0,104912,2600.0,21737.0,
40962.0,3116.0,115.0,2014.0,791906.0,101790,2491.0,18491.0,
37535.0,3083.0,117.0,1559.0,750944.0,98674,2376.0,16477.0,
39429.0,4611.0,119.0,1488.0,713409.0,95591,2259.0,14918.0,
39703.0,4674.0,123.0,1454.0,673980.0,90980,2140.0,13430.0,
35344.0,3977.0,127.0,1523.0,634277.0,86306,2017.0,11976.0,
40520.0,3783.0,121.0,1822.0,598933.0,82329,1890.0,10453.0,
40270.0,4353.0,126.0,1542.0,558413.0,78546,1769.0,8631.0,
40427.0,4801.0,125.0,1415.0,518143.0,74193,1643.0,7089.0,
34090.0,4281.0,115.0,875.0,477716.0,69392,1518.0,5674.0,
33070.0,4062.0,107.0,842.0,443626.0,65111,1403.0,4799.0,
34456.0,4093.0,98.0,511.0,410556.0,61049,1296.0,3957.0,
35720.0,4789.0,97.0,481.0,376100.0,56956,1198.0,3446.0,
33170.0,5138.0,95.0,542.0,340380.0,52167,1101.0,2965.0,
30864.0,4747.0,98.0,281.0,307210.0,47029,1006.0,2423.0,
28578.0,4056.0,96.0,296.0,276346.0,42282,908.0,2142.0,
24900.0,4117.0,87.0,264.0,247768.0,38226,812.0,1846.0,
20023.0,3892.0,76.0,256.0,222868.0,34109,725.0,1582.0,
21400.0,3148.0,75.0,284.0,202845.0,30217,649.0,1326.0,
20065.0,3135.0,73.0,256.0,181445.0,27069,574.0,1042.0,
19664.0,3013.0,76.0,302.0,161380.0,23934,501.0,786.0,
16160.0,2786.0,69.0,,141716.0,20921,425.0,484.0,
18757.0,2456.0,79.0,,125556.0,18135,356.0,415.0,
14396.0,2148.0,63.0,,106799.0,15679,277.0,333.0,
15422.0,2704.0,46.0,,92403.0,13531,214.0,243.0,
11535.0,1610.0,37.0,,76981.0,10827,168.0,162.0,
9982.0,1815.0,23.0,,65446.0,9217,131.0,105.0,
7641.0,1704.0,16.0,,55464.0,7402,108.0,70.0,
7533.0,2069.0,17.0,,47823.0,5698,92.0,42.0,
,,,,,3629,75.0,,
,,,,,2433,59.0,,
,,,,,1872,44.0,,
,,,,,1529,37.0,,
,,,,,1236,30.0,,
,,,,,947,21.0,,
,,,,,670,9.0,,
,,,,,359,4.0,,
,,,,,191,2.0,,
,,,,,98,1.0,,
,,,,,47,,,
,,,,,18,,,
,,,,,6,,,
,,,,,5,,,
,,,,,1,,,
,,,,,1,,,
